Usuário,Objetivo do treino,Tempo (min),Distância (km),Histórico de lesão,Pace (min/km),Peso (kg),Altura (cm),Atividades/semana,Nível,objetivo_encoded,lesao_encoded,nivel_encoded
3627,Maratona,167,22.0,Não,7.58,51.5,175.0,3,Avançado,2,0,0
3628,Bem-estar,102,12.5,Não,8.19,67.0,155.0,2,Intermediário,0,0,2
3629,Bem-estar,143,17.6,Não,8.12,79.2,152.0,4,Intermediário,0,0,2
3630,Maratona,158,18.7,Não,8.47,66.4,188.0,5,Avançado,2,0,0
3631,Bem-estar,123,21.7,Não,5.67,51.3,177.0,1,Intermediário,0,0,2
3632,Maratona,86,13.5,Sim,6.35,72.2,167.0,3,Intermediário,2,1,2
3633,Maratona,26,4.1,Sim,6.41,55.3,172.0,2,Intermediário,2,1,2
3634,Bem-estar,170,18.3,Não,9.28,81.0,198.0,2,Intermediário,0,0,2
3635,Maratona,129,19.7,Não,6.55,81.0,169.0,6,Avançado,2,0,0
3636,Emagrecimento,53,9.4,Não,5.61,51.9,155.0,5,Intermediário,1,0,2
3637,Emagrecimento,125,16.3,Não,7.66,64.5,173.0,5,Avançado,1,0,0
3638,Bem-estar,166,25.0,Sim,6.64,70.7,182.0,7,Intermediário,0,1,2
3639,Bem-estar,77,13.4,Não,5.75,77.5,151.0,4,Intermediário,0,0,2
3640,Maratona,28,3.5,Não,8.08,64.8,167.0,7,Intermediário,2,0,2
3641,Maratona,67,12.3,Sim,5.46,64.4,170.0,6,Intermediário,2,1,2
3642,Maratona,134,17.5,Não,7.67,99.2,173.0,3,Avançado,2,0,0
3643,Maratona,60,9.0,Não,6.65,52.1,165.0,2,Intermediário,2,0,2
3644,Emagrecimento,67,11.0,Não,6.1,99.5,183.0,1,Intermediário,1,0,2
3645,Emagrecimento,44,4.8,Não,9.23,52.4,197.0,4,Iniciante,1,0,1
3646,Bem-estar,135,22.1,Sim,6.12,64.4,196.0,3,Intermediário,0,1,2
3647,Maratona,97,15.5,Não,6.24,74.7,183.0,6,Avançado,2,0,0
3648,Maratona,127,14.4,Não,8.85,57.2,175.0,5,Avançado,2,0,0
3649,Bem-estar,44,8.5,Não,5.15,56.7,191.0,6,Iniciante,0,0,1
3650,Maratona,166,32.9,Não,5.04,62.8,192.0,3,Avançado,2,0,0
3651,Maratona,58,9.8,Sim,5.91,98.7,191.0,6,Intermediário,2,1,2
3652,Maratona,138,18.5,Não,7.46,69.0,158.0,5,Avançado,2,0,0
3653,Maratona,98,15.3,Não,6.42,78.3,151.0,3,Avançado,2,0,0
3654,Maratona,99,13.1,Não,7.54,85.2,199.0,1,Intermediário,2,0,2
3655,Bem-estar,46,8.7,Sim,5.3,87.1,198.0,7,Iniciante,0,1,1
3656,Maratona,123,21.2,Não,5.81,84.4,178.0,4,Avançado,2,0,0
3657,Bem-estar,93,12.7,Não,7.33,66.8,200.0,6,Intermediário,0,0,2
3658,Maratona,87,15.6,Não,5.59,55.6,189.0,5,Avançado,2,0,0
3659,Emagrecimento,166,25.1,Não,6.61,64.1,176.0,1,Avançado,1,0,0
3660,Emagrecimento,47,6.4,Não,7.36,60.5,169.0,2,Intermediário,1,0,2
3661,Emagrecimento,142,15.2,Não,9.37,56.8,180.0,1,Avançado,1,0,0
3662,Emagrecimento,180,36.7,Não,4.9,51.2,176.0,1,Avançado,1,0,0
3663,Bem-estar,157,23.1,Não,6.8,96.8,200.0,1,Intermediário,0,0,2
3664,Bem-estar,102,15.7,Não,6.48,96.1,175.0,5,Intermediário,0,0,2
3665,Maratona,49,5.7,Não,8.62,52.5,192.0,2,Intermediário,2,0,2
3666,Emagrecimento,41,4.6,Não,9.0,58.7,191.0,4,Iniciante,1,0,1
3667,Bem-estar,22,2.4,Não,9.04,57.0,154.0,1,Iniciante,0,0,1
3668,Maratona,120,18.8,Sim,6.38,64.1,154.0,5,Avançado,2,1,0
3669,Maratona,124,20.6,Sim,6.02,60.2,183.0,5,Avançado,2,1,0
3670,Bem-estar,21,3.1,Não,6.75,97.3,163.0,4,Iniciante,0,0,1
3671,Emagrecimento,73,11.7,Não,6.22,54.2,183.0,7,Intermediário,1,0,2
3672,Maratona,25,3.1,Sim,8.09,60.6,157.0,3,Intermediário,2,1,2
3673,Emagrecimento,126,22.6,Não,5.57,54.0,170.0,2,Avançado,1,0,0
3674,Emagrecimento,142,18.2,Não,7.79,99.0,155.0,2,Avançado,1,0,0
3675,Emagrecimento,21,2.3,Não,9.13,95.9,164.0,6,Iniciante,1,0,1
3676,Maratona,130,22.0,Não,5.9,85.8,154.0,1,Avançado,2,0,0
3677,Emagrecimento,21,2.7,Não,7.88,71.3,199.0,3,Iniciante,1,0,1
3678,Maratona,112,21.5,Não,5.22,59.5,170.0,7,Avançado,2,0,0
3679,Emagrecimento,120,23.5,Não,5.11,61.1,195.0,2,Avançado,1,0,0
3680,Maratona,116,22.8,Não,5.08,72.2,199.0,7,Avançado,2,0,0
3681,Emagrecimento,130,25.0,Sim,5.19,88.4,195.0,6,Avançado,1,1,0
3682,Bem-estar,25,4.5,Não,5.58,63.2,173.0,1,Iniciante,0,0,1
3683,Emagrecimento,146,20.0,Sim,7.31,65.5,189.0,3,Avançado,1,1,0
3684,Emagrecimento,123,14.8,Não,8.33,80.0,158.0,5,Intermediário,1,0,2
3685,Maratona,166,32.4,Sim,5.13,61.9,155.0,1,Avançado,2,1,0
3686,Maratona,174,19.7,Não,8.85,79.2,194.0,3,Avançado,2,0,0
3687,Emagrecimento,20,2.3,Não,8.71,69.4,152.0,4,Iniciante,1,0,1
3688,Bem-estar,52,6.4,Sim,8.14,51.7,199.0,2,Iniciante,0,1,1
3689,Bem-estar,59,8.9,Não,6.63,70.1,184.0,7,Iniciante,0,0,1
3690,Maratona,51,11.3,Sim,4.51,96.0,171.0,1,Intermediário,2,1,2
3691,Bem-estar,36,4.4,Não,8.17,64.7,157.0,6,Iniciante,0,0,1
3692,Emagrecimento,145,16.3,Não,8.89,66.1,186.0,5,Avançado,1,0,0
3693,Maratona,27,4.4,Não,6.18,53.3,178.0,6,Intermediário,2,0,2
3694,Emagrecimento,76,9.4,Não,8.09,80.8,186.0,7,Intermediário,1,0,2
3695,Maratona,61,12.7,Não,4.81,92.5,171.0,1,Intermediário,2,0,2
3696,Maratona,117,14.5,Não,8.05,67.6,153.0,2,Intermediário,2,0,2
3697,Maratona,156,32.2,Não,4.84,62.0,166.0,2,Avançado,2,0,0
3698,Maratona,139,18.7,Não,7.44,97.8,166.0,3,Avançado,2,0,0
3699,Bem-estar,106,14.2,Não,7.49,87.3,150.0,6,Intermediário,0,0,2
3700,Emagrecimento,73,12.1,Não,6.01,78.4,150.0,6,Intermediário,1,0,2
3701,Emagrecimento,103,21.0,Não,4.9,65.3,167.0,5,Intermediário,1,0,2
3702,Emagrecimento,44,4.8,Sim,9.25,61.0,186.0,7,Iniciante,1,1,1
3703,Maratona,86,12.0,Não,7.18,85.8,181.0,3,Intermediário,2,0,2
3704,Bem-estar,171,23.1,Não,7.4,76.1,162.0,5,Intermediário,0,0,2
3705,Emagrecimento,65,8.6,Não,7.58,76.0,180.0,1,Intermediário,1,0,2
3706,Bem-estar,41,4.6,Sim,8.96,53.7,182.0,1,Iniciante,0,1,1
3707,Maratona,158,32.9,Não,4.8,75.6,176.0,6,Avançado,2,0,0
3708,Emagrecimento,27,3.0,Sim,8.97,91.1,176.0,7,Iniciante,1,1,1
3709,Bem-estar,58,10.2,Não,5.7,97.3,168.0,3,Iniciante,0,0,1
3710,Maratona,68,13.9,Não,4.89,55.3,156.0,7,Intermediário,2,0,2
3711,Bem-estar,65,8.3,Não,7.79,81.6,169.0,4,Intermediário,0,0,2
3712,Emagrecimento,57,6.1,Não,9.38,78.4,167.0,2,Intermediário,1,0,2
3713,Emagrecimento,155,32.4,Não,4.79,94.5,180.0,7,Avançado,1,0,0
3714,Maratona,73,11.0,Não,6.63,87.6,193.0,3,Intermediário,2,0,2
3715,Maratona,111,15.5,Não,7.15,98.3,169.0,7,Avançado,2,0,0
3716,Maratona,59,10.2,Não,5.76,98.0,185.0,3,Intermediário,2,0,2
3717,Bem-estar,53,5.6,Não,9.41,61.3,191.0,1,Iniciante,0,0,1
3718,Bem-estar,115,14.9,Não,7.7,86.3,161.0,2,Intermediário,0,0,2
3719,Bem-estar,98,11.2,Não,8.72,76.5,195.0,7,Intermediário,0,0,2
3720,Maratona,146,22.2,Não,6.58,60.7,154.0,7,Avançado,2,0,0
3721,Emagrecimento,36,5.7,Sim,6.27,59.7,195.0,7,Intermediário,1,1,2
3722,Emagrecimento,180,24.8,Não,7.27,54.1,158.0,3,Avançado,1,0,0
3723,Bem-estar,129,19.3,Não,6.68,89.8,167.0,7,Intermediário,0,0,2
3724,Bem-estar,71,8.8,Não,8.07,66.2,180.0,1,Intermediário,0,0,2
3725,Emagrecimento,137,23.5,Sim,5.83,92.8,195.0,1,Avançado,1,1,0
3726,Emagrecimento,28,4.1,Não,6.75,80.4,163.0,6,Iniciante,1,0,1
3727,Bem-estar,52,5.8,Não,8.98,83.7,188.0,6,Iniciante,0,0,1
3728,Bem-estar,132,15.9,Não,8.28,64.6,186.0,3,Intermediário,0,0,2
3729,Emagrecimento,168,31.5,Não,5.34,72.9,158.0,3,Avançado,1,0,0
3730,Maratona,104,11.6,Não,8.93,70.6,174.0,1,Intermediário,2,0,2
3731,Bem-estar,29,3.9,Não,7.45,61.8,174.0,6,Iniciante,0,0,1
3732,Emagrecimento,25,3.2,Sim,7.9,91.6,165.0,7,Iniciante,1,1,1
3733,Emagrecimento,134,22.4,Não,5.97,81.1,189.0,7,Avançado,1,0,0
3734,Emagrecimento,140,20.9,Sim,6.71,51.9,196.0,3,Avançado,1,1,0
3735,Emagrecimento,160,18.8,Não,8.53,91.0,186.0,2,Avançado,1,0,0
3736,Maratona,84,13.7,Sim,6.15,55.3,199.0,1,Intermediário,2,1,2
3737,Emagrecimento,39,7.3,Não,5.33,70.2,153.0,1,Intermediário,1,0,2
3738,Bem-estar,76,11.9,Sim,6.39,78.6,152.0,3,Intermediário,0,1,2
3739,Maratona,65,13.4,Não,4.85,50.4,195.0,3,Intermediário,2,0,2
3740,Emagrecimento,155,19.2,Sim,8.09,82.6,195.0,3,Avançado,1,1,0
3741,Maratona,29,5.5,Não,5.24,83.0,155.0,7,Intermediário,2,0,2
3742,Bem-estar,132,22.3,Não,5.93,82.6,168.0,7,Intermediário,0,0,2
3743,Emagrecimento,158,17.7,Sim,8.91,58.2,192.0,2,Avançado,1,1,0
3744,Bem-estar,31,4.3,Não,7.2,62.8,156.0,1,Iniciante,0,0,1
3745,Emagrecimento,157,25.7,Não,6.11,62.4,163.0,4,Avançado,1,0,0
3746,Emagrecimento,172,23.8,Sim,7.24,98.0,184.0,2,Avançado,1,1,0
3747,Emagrecimento,30,5.4,Sim,5.59,53.4,199.0,2,Intermediário,1,1,2
3748,Emagrecimento,137,29.6,Não,4.63,71.4,190.0,7,Avançado,1,0,0
3749,Emagrecimento,58,7.7,Sim,7.52,93.6,189.0,6,Intermediário,1,1,2
3750,Maratona,72,8.9,Sim,8.07,88.5,167.0,1,Intermediário,2,1,2
3751,Emagrecimento,75,8.4,Não,8.9,91.1,183.0,7,Intermediário,1,0,2
3752,Emagrecimento,123,14.7,Não,8.36,98.6,156.0,4,Intermediário,1,0,2
3753,Maratona,148,16.2,Não,9.13,69.4,200.0,1,Avançado,2,0,0
3754,Maratona,75,8.0,Sim,9.43,65.5,174.0,2,Intermediário,2,1,2
3755,Maratona,137,16.7,Não,8.22,51.5,182.0,3,Avançado,2,0,0
3756,Maratona,151,17.1,Não,8.84,57.5,194.0,1,Avançado,2,0,0
3757,Maratona,49,6.2,Não,7.87,78.1,150.0,1,Intermediário,2,0,2
3758,Maratona,31,5.8,Sim,5.35,57.9,199.0,3,Intermediário,2,1,2
3759,Emagrecimento,54,10.0,Não,5.41,86.8,168.0,4,Intermediário,1,0,2
3760,Emagrecimento,96,19.0,Não,5.05,51.9,167.0,4,Intermediário,1,0,2
3761,Bem-estar,178,19.3,Não,9.21,63.0,157.0,1,Intermediário,0,0,2
3762,Emagrecimento,121,15.4,Não,7.86,84.8,193.0,7,Avançado,1,0,0
3763,Emagrecimento,106,12.5,Não,8.45,62.8,194.0,3,Intermediário,1,0,2
3764,Maratona,71,11.5,Sim,6.16,86.4,151.0,6,Intermediário,2,1,2
3765,Maratona,99,14.6,Não,6.8,99.8,153.0,1,Intermediário,2,0,2
3766,Emagrecimento,154,32.8,Não,4.7,89.9,196.0,3,Avançado,1,0,0
3767,Bem-estar,41,4.6,Não,8.95,67.1,156.0,2,Iniciante,0,0,1
3768,Maratona,94,10.7,Não,8.77,95.0,181.0,6,Intermediário,2,0,2
3769,Emagrecimento,77,9.1,Sim,8.42,52.6,181.0,3,Intermediário,1,1,2
3770,Emagrecimento,112,23.4,Não,4.79,86.3,193.0,7,Intermediário,1,0,2
3771,Bem-estar,122,22.7,Não,5.37,51.2,179.0,1,Intermediário,0,0,2
3772,Bem-estar,159,25.8,Não,6.17,58.7,172.0,5,Intermediário,0,0,2
3773,Maratona,26,4.5,Não,5.82,99.4,199.0,4,Intermediário,2,0,2
3774,Bem-estar,147,16.9,Não,8.69,68.0,161.0,1,Intermediário,0,0,2
3775,Emagrecimento,74,13.5,Sim,5.47,91.0,163.0,3,Intermediário,1,1,2
3776,Emagrecimento,125,17.5,Não,7.16,68.8,154.0,6,Avançado,1,0,0
3777,Bem-estar,81,11.0,Não,7.36,92.0,199.0,6,Intermediário,0,0,2
3778,Bem-estar,109,16.4,Não,6.63,98.3,185.0,3,Intermediário,0,0,2
3779,Bem-estar,117,20.5,Sim,5.7,71.8,151.0,4,Intermediário,0,1,2
3780,Bem-estar,96,10.3,Não,9.3,78.0,185.0,1,Intermediário,0,0,2
3781,Maratona,138,21.0,Não,6.57,81.4,170.0,6,Avançado,2,0,0
3782,Bem-estar,55,6.8,Sim,8.14,96.7,198.0,6,Iniciante,0,1,1
3783,Maratona,108,19.9,Não,5.42,62.8,164.0,5,Avançado,2,0,0
3784,Emagrecimento,171,19.9,Não,8.61,80.6,186.0,2,Avançado,1,0,0
3785,Bem-estar,164,29.4,Não,5.58,66.2,181.0,5,Intermediário,0,0,2
3786,Maratona,149,18.9,Não,7.88,60.8,151.0,2,Avançado,2,0,0
3787,Bem-estar,160,22.8,Não,7.03,54.2,194.0,6,Intermediário,0,0,2
3788,Emagrecimento,178,34.0,Não,5.23,81.0,157.0,2,Avançado,1,0,0
3789,Emagrecimento,112,24.2,Não,4.62,94.1,183.0,1,Intermediário,1,0,2
3790,Emagrecimento,133,14.5,Não,9.15,67.6,189.0,6,Intermediário,1,0,2
3791,Bem-estar,47,9.2,Sim,5.13,77.6,182.0,6,Iniciante,0,1,1
3792,Bem-estar,174,21.7,Não,8.02,82.1,155.0,2,Intermediário,0,0,2
3793,Maratona,162,20.9,Não,7.76,70.7,199.0,3,Avançado,2,0,0
3794,Emagrecimento,52,8.4,Não,6.21,95.2,162.0,2,Intermediário,1,0,2
3795,Bem-estar,39,7.2,Sim,5.43,68.1,181.0,2,Iniciante,0,1,1
3796,Emagrecimento,159,29.5,Sim,5.39,56.3,190.0,4,Avançado,1,1,0
3797,Emagrecimento,120,16.2,Não,7.43,57.2,197.0,4,Avançado,1,0,0
3798,Maratona,42,5.8,Não,7.23,94.5,180.0,1,Intermediário,2,0,2
3799,Maratona,131,14.8,Não,8.88,99.4,163.0,1,Avançado,2,0,0
3800,Maratona,33,4.3,Não,7.7,64.4,192.0,3,Intermediário,2,0,2
3801,Maratona,110,12.8,Não,8.6,57.2,158.0,4,Intermediário,2,0,2
3802,Emagrecimento,172,36.9,Não,4.66,74.1,151.0,5,Avançado,1,0,0
3803,Maratona,96,12.2,Sim,7.85,85.5,195.0,1,Intermediário,2,1,2
3804,Maratona,104,18.3,Não,5.67,80.6,179.0,1,Avançado,2,0,0
3805,Maratona,128,22.2,Não,5.76,97.6,153.0,4,Avançado,2,0,0
3806,Maratona,50,6.2,Não,8.1,90.9,179.0,4,Intermediário,2,0,2
3807,Emagrecimento,141,16.6,Não,8.47,93.4,157.0,3,Avançado,1,0,0
3808,Maratona,126,19.8,Não,6.36,77.1,152.0,4,Avançado,2,0,0
3809,Emagrecimento,73,8.6,Não,8.45,66.4,156.0,7,Intermediário,1,0,2
3810,Bem-estar,152,22.6,Não,6.72,85.1,189.0,2,Intermediário,0,0,2
3811,Emagrecimento,160,18.2,Não,8.79,72.0,188.0,6,Avançado,1,0,0
3812,Emagrecimento,175,37.9,Não,4.62,64.4,180.0,5,Avançado,1,0,0
3813,Maratona,62,12.6,Sim,4.92,57.6,160.0,6,Intermediário,2,1,2
3814,Bem-estar,108,12.9,Sim,8.38,76.4,187.0,2,Intermediário,0,1,2
3815,Bem-estar,134,17.6,Não,7.62,79.7,170.0,7,Intermediário,0,0,2
3816,Bem-estar,118,16.2,Sim,7.3,78.4,176.0,7,Intermediário,0,1,2
3817,Bem-estar,66,8.7,Sim,7.57,55.8,195.0,2,Intermediário,0,1,2
3818,Emagrecimento,90,9.8,Não,9.15,78.5,173.0,6,Intermediário,1,0,2
3819,Bem-estar,86,11.1,Não,7.78,58.4,181.0,2,Intermediário,0,0,2
3820,Emagrecimento,81,10.5,Não,7.74,83.2,198.0,1,Intermediário,1,0,2
3821,Emagrecimento,128,15.4,Não,8.3,71.5,173.0,7,Avançado,1,0,0
3822,Emagrecimento,56,6.3,Não,8.83,92.4,178.0,6,Intermediário,1,0,2
3823,Bem-estar,138,23.8,Sim,5.81,88.9,179.0,2,Intermediário,0,1,2
3824,Maratona,105,13.9,Não,7.58,86.2,162.0,1,Intermediário,2,0,2
3825,Maratona,145,19.5,Não,7.42,85.0,187.0,4,Avançado,2,0,0
3826,Bem-estar,155,30.0,Não,5.17,78.0,186.0,7,Intermediário,0,0,2
3827,Maratona,71,10.0,Não,7.1,53.1,161.0,5,Intermediário,2,0,2
3828,Maratona,110,22.7,Não,4.85,82.8,151.0,5,Avançado,2,0,0
3829,Emagrecimento,52,9.6,Não,5.42,73.3,200.0,2,Intermediário,1,0,2
3830,Emagrecimento,100,11.0,Sim,9.06,73.5,179.0,5,Intermediário,1,1,2
3831,Bem-estar,61,12.0,Não,5.1,69.0,159.0,1,Intermediário,0,0,2
3832,Bem-estar,131,17.7,Não,7.39,96.5,164.0,4,Intermediário,0,0,2
3833,Maratona,145,23.7,Não,6.12,62.5,181.0,2,Avançado,2,0,0
3834,Emagrecimento,174,23.9,Não,7.28,65.8,157.0,3,Avançado,1,0,0
3835,Bem-estar,155,27.3,Sim,5.67,98.2,152.0,6,Intermediário,0,1,2
3836,Bem-estar,170,25.3,Não,6.72,90.5,190.0,7,Intermediário,0,0,2
3837,Bem-estar,125,14.1,Não,8.84,50.7,186.0,5,Intermediário,0,0,2
3838,Bem-estar,144,22.6,Não,6.38,95.3,165.0,5,Intermediário,0,0,2
3839,Bem-estar,132,21.1,Sim,6.27,61.3,153.0,2,Intermediário,0,1,2
3840,Bem-estar,83,12.3,Não,6.73,85.3,174.0,6,Intermediário,0,0,2
3841,Maratona,142,28.4,Não,5.0,77.7,164.0,6,Avançado,2,0,0
3842,Emagrecimento,133,20.7,Não,6.44,76.8,170.0,5,Avançado,1,0,0
3843,Emagrecimento,39,8.6,Não,4.53,85.9,164.0,5,Intermediário,1,0,2
3844,Bem-estar,35,5.0,Não,7.02,60.4,159.0,3,Iniciante,0,0,1
3845,Emagrecimento,164,18.8,Não,8.74,58.0,169.0,6,Avançado,1,0,0
3846,Emagrecimento,38,5.2,Não,7.26,82.6,198.0,1,Intermediário,1,0,2
3847,Emagrecimento,139,18.4,Não,7.54,64.5,163.0,7,Avançado,1,0,0
3848,Bem-estar,155,33.3,Não,4.65,98.7,167.0,2,Intermediário,0,0,2
3849,Bem-estar,57,6.5,Não,8.8,72.6,166.0,2,Iniciante,0,0,1
3850,Emagrecimento,112,17.4,Não,6.43,55.6,174.0,3,Intermediário,1,0,2
3851,Emagrecimento,124,13.2,Não,9.37,84.3,192.0,7,Intermediário,1,0,2
3852,Bem-estar,119,23.3,Não,5.1,65.3,170.0,3,Intermediário,0,0,2
3853,Maratona,109,11.8,Não,9.22,57.4,190.0,1,Intermediário,2,0,2
3854,Emagrecimento,178,23.2,Não,7.67,71.1,156.0,4,Avançado,1,0,0
3855,Maratona,63,13.2,Não,4.76,98.2,195.0,2,Intermediário,2,0,2
3856,Emagrecimento,95,10.1,Sim,9.36,70.6,159.0,6,Intermediário,1,1,2
3857,Maratona,164,35.9,Sim,4.57,67.4,152.0,7,Avançado,2,1,0
3858,Maratona,98,12.0,Não,8.15,72.2,158.0,5,Intermediário,2,0,2
3859,Maratona,92,10.3,Sim,8.95,50.6,160.0,7,Intermediário,2,1,2
3860,Bem-estar,159,29.6,Não,5.38,56.7,175.0,1,Intermediário,0,0,2
3861,Maratona,115,18.5,Sim,6.22,92.5,172.0,2,Avançado,2,1,0
3862,Maratona,108,14.8,Sim,7.31,98.9,186.0,6,Intermediário,2,1,2
3863,Maratona,122,15.4,Sim,7.9,57.9,153.0,1,Avançado,2,1,0
3864,Emagrecimento,165,18.6,Não,8.86,76.8,175.0,4,Avançado,1,0,0
3865,Maratona,25,3.0,Não,8.31,98.3,167.0,6,Intermediário,2,0,2
3866,Emagrecimento,141,22.3,Sim,6.32,57.8,182.0,2,Avançado,1,1,0
3867,Maratona,135,15.7,Não,8.61,59.3,152.0,7,Avançado,2,0,0
3868,Maratona,81,8.7,Não,9.33,96.3,152.0,5,Intermediário,2,0,2
3869,Bem-estar,163,29.0,Não,5.63,85.3,171.0,6,Intermediário,0,0,2
3870,Emagrecimento,155,31.8,Não,4.87,57.6,191.0,2,Avançado,1,0,0
3871,Maratona,108,16.3,Sim,6.63,69.7,184.0,1,Avançado,2,1,0
3872,Emagrecimento,115,12.9,Não,8.91,52.8,151.0,4,Intermediário,1,0,2
3873,Emagrecimento,145,27.6,Sim,5.25,71.6,159.0,6,Avançado,1,1,0
3874,Bem-estar,109,12.2,Não,8.93,88.9,161.0,1,Intermediário,0,0,2
3875,Bem-estar,105,11.1,Sim,9.46,77.7,171.0,1,Intermediário,0,1,2
3876,Bem-estar,178,37.3,Não,4.77,82.4,179.0,3,Intermediário,0,0,2
3877,Bem-estar,157,22.5,Não,6.98,66.3,161.0,1,Intermediário,0,0,2
3878,Bem-estar,140,22.8,Sim,6.14,58.1,169.0,7,Intermediário,0,1,2
3879,Bem-estar,95,14.7,Não,6.47,50.7,179.0,6,Intermediário,0,0,2
3880,Bem-estar,111,16.4,Não,6.76,91.1,169.0,4,Intermediário,0,0,2
3881,Bem-estar,89,10.9,Não,8.2,81.8,157.0,5,Intermediário,0,0,2
3882,Maratona,167,22.4,Não,7.46,61.5,175.0,3,Avançado,2,0,0
3883,Emagrecimento,152,16.3,Sim,9.31,70.9,166.0,1,Avançado,1,1,0
3884,Bem-estar,42,6.8,Não,6.16,90.1,193.0,6,Iniciante,0,0,1
3885,Bem-estar,156,21.6,Não,7.21,76.9,189.0,7,Intermediário,0,0,2
3886,Emagrecimento,77,9.0,Não,8.57,65.0,160.0,7,Intermediário,1,0,2
3887,Maratona,65,10.2,Não,6.37,63.4,158.0,7,Intermediário,2,0,2
3888,Emagrecimento,41,6.0,Não,6.83,60.9,167.0,2,Intermediário,1,0,2
3889,Emagrecimento,27,3.4,Não,7.92,91.2,171.0,3,Iniciante,1,0,1
3890,Bem-estar,142,16.1,Não,8.8,79.1,197.0,4,Intermediário,0,0,2
3891,Emagrecimento,39,5.9,Não,6.58,85.5,165.0,2,Intermediário,1,0,2
3892,Emagrecimento,97,13.5,Não,7.16,93.0,193.0,4,Intermediário,1,0,2
3893,Bem-estar,58,6.2,Não,9.38,99.3,175.0,2,Iniciante,0,0,1
3894,Bem-estar,56,11.9,Sim,4.71,62.5,194.0,5,Iniciante,0,1,1
3895,Bem-estar,94,13.9,Não,6.74,59.0,185.0,4,Intermediário,0,0,2
3896,Bem-estar,137,17.8,Sim,7.68,73.1,185.0,2,Intermediário,0,1,2
3897,Emagrecimento,123,27.1,Não,4.54,51.8,176.0,7,Avançado,1,0,0
3898,Emagrecimento,180,24.1,Não,7.48,89.6,192.0,4,Avançado,1,0,0
3899,Maratona,50,10.5,Não,4.78,94.2,163.0,3,Intermediário,2,0,2
3900,Maratona,142,16.2,Não,8.79,84.3,195.0,4,Avançado,2,0,0
3901,Emagrecimento,73,8.5,Não,8.54,63.4,182.0,6,Intermediário,1,0,2
3902,Maratona,53,11.4,Não,4.66,56.2,172.0,4,Intermediário,2,0,2
3903,Emagrecimento,141,29.7,Não,4.74,69.1,199.0,2,Avançado,1,0,0
3904,Maratona,132,16.0,Não,8.27,91.7,193.0,4,Avançado,2,0,0
3905,Bem-estar,81,12.8,Não,6.35,67.4,189.0,5,Intermediário,0,0,2
3906,Maratona,42,5.7,Não,7.38,51.7,164.0,1,Intermediário,2,0,2
3907,Bem-estar,65,11.1,Não,5.85,63.7,199.0,3,Intermediário,0,0,2
3908,Bem-estar,75,14.0,Sim,5.36,99.5,187.0,6,Intermediário,0,1,2
3909,Bem-estar,154,25.8,Não,5.98,83.8,180.0,7,Intermediário,0,0,2
3910,Bem-estar,137,23.9,Sim,5.73,95.0,196.0,2,Intermediário,0,1,2
3911,Maratona,150,22.3,Não,6.74,88.7,158.0,7,Avançado,2,0,0
3912,Emagrecimento,132,16.0,Não,8.23,77.0,157.0,7,Avançado,1,0,0
3913,Bem-estar,63,8.7,Não,7.27,57.4,178.0,4,Intermediário,0,0,2
3914,Maratona,147,19.5,Não,7.55,67.4,153.0,4,Avançado,2,0,0
3915,Bem-estar,127,18.5,Não,6.85,79.2,183.0,4,Intermediário,0,0,2
3916,Maratona,177,28.9,Não,6.12,93.5,162.0,3,Avançado,2,0,0
3917,Maratona,36,6.9,Não,5.22,63.4,156.0,6,Intermediário,2,0,2
3918,Maratona,78,12.4,Não,6.27,56.1,170.0,1,Intermediário,2,0,2
3919,Emagrecimento,157,20.1,Não,7.83,77.9,173.0,5,Avançado,1,0,0
3920,Maratona,118,14.4,Sim,8.17,58.8,159.0,6,Intermediário,2,1,2
3921,Maratona,103,15.0,Não,6.85,80.5,152.0,5,Avançado,2,0,0
3922,Emagrecimento,165,21.4,Não,7.72,63.2,171.0,7,Avançado,1,0,0
3923,Emagrecimento,64,11.5,Sim,5.55,61.5,188.0,6,Intermediário,1,1,2
3924,Maratona,127,14.4,Não,8.8,70.0,194.0,2,Avançado,2,0,0
3925,Emagrecimento,81,9.2,Não,8.83,79.7,155.0,1,Intermediário,1,0,2
3926,Bem-estar,78,12.8,Sim,6.1,77.3,176.0,1,Intermediário,0,1,2
3927,Bem-estar,179,24.7,Sim,7.24,62.2,163.0,3,Intermediário,0,1,2
3928,Emagrecimento,157,20.8,Não,7.53,94.6,169.0,6,Avançado,1,0,0
3929,Emagrecimento,30,4.4,Não,6.86,55.5,197.0,4,Iniciante,1,0,1
3930,Maratona,121,13.4,Não,9.06,52.0,168.0,1,Avançado,2,0,0
3931,Emagrecimento,89,10.9,Sim,8.2,80.1,168.0,6,Intermediário,1,1,2
3932,Maratona,142,18.1,Sim,7.86,56.2,160.0,4,Avançado,2,1,0
3933,Bem-estar,53,7.5,Não,7.1,75.2,198.0,3,Iniciante,0,0,1
3934,Emagrecimento,120,24.4,Não,4.92,97.6,173.0,7,Avançado,1,0,0
3935,Maratona,164,32.5,Não,5.04,84.9,179.0,7,Avançado,2,0,0
3936,Maratona,123,20.5,Não,6.0,80.9,173.0,6,Avançado,2,0,0
3937,Bem-estar,59,10.6,Sim,5.56,78.7,163.0,6,Iniciante,0,1,1
3938,Emagrecimento,38,4.1,Não,9.26,59.0,191.0,2,Iniciante,1,0,1
